,movieId,Title,Year,Rated,Genre,imdbRating,imdbVotes,Language,Country,Plot,Runtime
11,11,Dracula: Dead and Loving It,1995,PG-13,"Comedy, Fantasy, Horror",5.8,45643,"English, German","France, United States",Mel Brooks' parody of the classic vampire story and its famous film adaptations.,88 min
12,12,Balto,1995,G,"Animation, Adventure, Drama",7.1,48700,English,"United States, United Kingdom","An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",78 min
13,13,Nixon,1995,R,"Biography, Drama, History",7.1,32992,"English, Mandarin, Russian",United States,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.",192 min
14,14,Cutthroat Island,1995,PG-13,"Action, Adventure, Comedy",5.7,30992,"English, Spanish, Latin, French","France, Italy, Germany, United States",A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,124 min
15,15,Casino,1995,R,"Crime, Drama",8.2,574656,English,"United States, France","In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite.",178 min
16,16,Sense and Sensibility,1995,PG,"Drama, Romance",7.7,127437,"English, French","United Kingdom, United States","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",136 min
17,17,Four Rooms,1995,R,Comedy,6.7,111984,English,United States,Four interlocking tales that take place in a fading hotel on New Year's Eve.,98 min
18,18,Ace Ventura: When Nature Calls,1995,PG-13,"Adventure, Comedy, Crime",6.4,236594,English,United States,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",90 min
19,19,Money Train,1995,R,"Action, Comedy, Crime",5.7,43546,English,United States,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.",110 min
20,20,Get Shorty,1995,R,"Comedy, Crime, Thriller",6.9,90548,English,United States,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",105 min
21,21,Copycat,1995,R,"Drama, Mystery, Thriller",6.6,67344,English,United States,A criminal psychologist who turned agoraphobic after a murder attempt agrees to help two San Francisco detectives hunt for a copycat serial killer who intends on making her his next victim.,123 min
22,22,Assassins,1995,R,"Action, Crime, Thriller",6.3,89042,"English, Dutch, Spanish","France, United States",Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,133 min
23,23,Powder,1995,PG-13,"Drama, Fantasy, Mystery",6.6,33071,English,United States,An off-the-charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,111 min
24,24,Leaving Las Vegas,1995,R,"Drama, Romance",7.5,136847,"English, Russian",United States,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",111 min
25,26,Now and Then,1995,PG-13,"Comedy, Drama, Romance",6.8,32929,English,United States,Four childhood friends gather together to prepare for the birth of Chrissey's baby. They wonder how the girls they were at 12 years could possibly have become the women they are now.,102 min
26,4259,Persuasion,2007,Not Rated,"Action, Drama, Family",7.4,16739,English,"United Kingdom, United States","Anne was in love with Frederick, who was rejected by her snobby parents 8 years ago. They've now hit hard times and rent out their mansion to his brother-in-law. He returns a Royal Navy captain. Will he remember Anne?",93 min
27,28,The City of Lost Children,1995,R,"Adventure, Drama, Fantasy",7.5,72316,"French, Cantonese","France, Germany, Spain, Belgium, United States","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",112 min
28,29,Shanghai Triad,1995,R,"Crime, Drama, History",7.1,6065,Mandarin,"France, China",A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,108 min
29,30,Dangerous Minds,1995,R,"Biography, Drama",6.5,57757,English,United States,"LouAnne, a retired US marine, becomes a teacher in a Californian high school. But her mostly Latino and black students from an impoverished and racially segregated locality do not easily embrace her.",99 min
30,32,Babe,1995,G,"Comedy, Drama, Family",6.9,136197,English,"Australia, United States, United Kingdom","Gentle farmer Arthur Hoggett wins a piglet Babe at a county fair. Narrowly escaping his fate as Christmas dinner, Babe bonds with motherly border collie Fly and discovers that he too can herd sheep. But will the other animals acce...",91 min
31,33,Dead Man Walking,1995,R,"Crime, Drama",7.5,102623,English,"United Kingdom, United States","A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",122 min
32,34,It Takes Two,1995,PG,"Comedy, Family, Romance",5.9,25394,English,United States,"Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.",101 min
33,35,Clueless,1995,PG-13,"Comedy, Romance",6.9,253311,"English, Spanish",United States,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",97 min
34,36,Richard III,1995,R,"Drama, Sci-Fi, War",7.3,15707,English,"United Kingdom, United States",The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,110 min
35,37,Dead Presidents,1995,R,"Action, Crime, Drama",6.9,24938,English,United States,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",119 min
36,38,Restoration,1995,R,"Biography, Drama, History",6.6,9983,"English, Latin","United States, United Kingdom","The exiled royal doctor to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",117 min
37,39,Mortal Kombat,1995,PG-13,"Action, Adventure, Fantasy",5.8,125848,English,United States,Three martial artists are forced to battle demonic adversaries in another dimension with the fate of the world hanging in the balance.,101 min
38,40,To Die For,1995,R,"Comedy, Crime, Drama",6.8,54280,English,"United States, United Kingdom, Canada",A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,106 min
39,41,How to Make an American Quilt,1995,PG-13,"Comedy, Drama, Romance",6.3,12609,English,United States,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,117 min
40,43,Pocahontas,1995,G,"Animation, Adventure, Drama",6.7,206056,"English, Algonquin","United States, Japan",An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,81 min
41,44,The Usual Suspects,1995,R,"Crime, Drama, Mystery",8.5,1161294,"English, Hungarian, Spanish, French","Germany, United States",The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,106 min
42,45,Mighty Aphrodite,1995,R,"Comedy, Fantasy, Romance",7,43172,"English, Latin",United States,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.",95 min
43,46,The Big Green,1995,PG,"Comedy, Family, Sport",5.5,11149,English,United States,"A teacher on exchange from England is placed in an underachieving Texas school, where she coaches the students in soccer, improving their self-esteem and leading to unexpected success.",100 min
44,47,Home for the Holidays,1995,PG-13,"Comedy, Drama, Romance",6.6,14656,English,United States,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",103 min
45,1025,The Postman,1997,R,"Action, Adventure, Drama",6.1,79736,English,United States,A nameless drifter dons a postman's uniform and bag of mail as he begins a quest to inspire hope to the survivors living in post-apocalyptic America.,177 min
46,49,The Indian in the Cupboard,1995,PG,"Drama, Family, Fantasy",6,31362,English,United States,"Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cupboard from his older brother, a set of antique keys from his mother, and a plastic Indian from his best friend, Patrick.",96 min
47,50,Eye for an Eye,1996,R,"Crime, Drama, Thriller",6.2,19130,"English, French, Spanish, Korean",United States,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",101 min
48,52,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,R,"Comedy, Crime",6.5,62363,"English, Spanish",United States,"A parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992).",89 min
49,53,Two If by Sea,1996,R,"Comedy, Crime, Romance",5.3,6461,English,United States,"A couple steals a Matisse painting on contract, and manage to evade the police. The sale takes place four days later on an island, but things don't go as planned.",96 min
50,54,Bio-Dome,1996,PG-13,Comedy,4.4,30150,English,United States,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",88 min
51,56,French Twist,1995,R,"Comedy, Drama, Romance",6.4,5410,"French, Spanish, English",France,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",104 min
52,57,Friday,1995,R,"Comedy, Drama",7.2,126940,English,United States,"It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday.",91 min
53,58,From Dusk Till Dawn,1996,R,"Action, Crime, Horror",7.2,346391,"English, Spanish","United States, Mexico","Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",108 min
54,59,Fair Game,1995,R,"Action, Romance, Thriller",4.4,14008,"English, Russian",United States,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.",91 min
55,60,Kicking and Screaming,1995,R,"Comedy, Drama, Romance",6.7,15376,English,United States,"A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation.",96 min
56,1081,Les Misérables,1998,PG-13,"Crime, Drama, Romance",7.4,43518,English,"United Kingdom, Germany, United States","Valjean, a former criminal, has atoned for his past and now finds himself in the midst of the French Revolution, avoiding a law-obsessed policeman hell-bent on capturing him.",134 min
57,62,Bed of Roses,1996,PG,"Drama, Romance",6.1,8817,English,United States,Romantic drama about a young career girl who is swept off her feet by a shy florist who fell in love with her after one glimpse through a shadowy window.,87 min
58,63,Big Bully,1996,PG,"Comedy, Thriller",4.8,5545,English,United States,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",90 min
59,64,Screamers,1995,R,"Horror, Sci-Fi, Thriller",6.3,29824,English,"Canada, Japan","A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained s...",108 min
60,65,The Crossing Guard,1995,R,"Drama, Thriller",6.3,14640,English,United States,Freddy Gale is a seedy jeweller who has sworn to kill the drunk driver who killed his little girl.,111 min
61,66,The Juror,1996,R,"Crime, Drama, Thriller",5.7,20203,"English, Spanish",United States,A juror in a Mafia trial is forced to convince the other jurors to vote not guilty by an obsessive mob enforcer.,118 min
62,67,Things to Do in Denver When You're Dead,1995,R,"Crime, Drama, Thriller",6.7,30037,English,United States,Five different criminals face imminent death after botching a job quite badly.,115 min
63,68,Antonia's Line,1995,R,"Comedy, Drama",7.4,9538,Dutch,"Netherlands, Belgium, United Kingdom, France","A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.",102 min
64,69,Angels and Insects,1995,R,"Drama, Romance",6.8,4879,English,"United Kingdom, United States",In the 1800s a naturalist marries into a family of British country gentry.,116 min
65,70,White Squall,1996,PG-13,"Adventure, Drama",6.6,25819,"English, Danish, Spanish","United States, United Kingdom",Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,129 min
66,71,Dunston Checks In,1996,PG,"Adventure, Comedy, Family",5.4,13535,"English, French",United States,A young boy befriends a larcenous orangutan in a luxury hotel.,88 min
67,72,Black Sheep,1996,PG-13,Comedy,6.2,44077,English,United States,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.,87 min
68,73,Nick of Time,1995,R,"Action, Crime, Drama",6.3,45558,English,United States,"An unimpressive, everyday man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.",90 min
69,74,Mary Reilly,1996,R,"Drama, Horror, Romance",5.8,15865,English,"United States, United Kingdom","A housemaid falls in love with Dr. Henry Jekyll and his darkly mysterious counterpart, Mr. Edward Hyde.",108 min
70,75,Vampire in Brooklyn,1995,R,"Comedy, Fantasy, Horror",4.6,25446,English,United States,A Caribbean vampire seduces a Brooklyn police officer who has no idea that she is half-vampire.,100 min
71,76,Beautiful Girls,1996,R,"Comedy, Drama, Romance",7.1,35113,English,United States,A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.,112 min
72,77,Broken Arrow,1996,R,"Action, Adventure, Thriller",6.1,106484,English,United States,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.,108 min
73,78,Hate,1995,R,"Animation, Short, Comedy",8.1,202000,English,United States,Animated pilot based on the Peter Bagge comic book series.,98 min
74,79,City Hall,1996,R,"Crime, Drama, Mystery",6.2,22667,English,United States,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",111 min
75,80,Bottle Rocket,1996,R,"Comedy, Crime, Drama",6.9,84680,"English, Spanish",United States,Three friends plan to pull off a simple robbery and go on the run.,91 min
76,82,Unforgettable,1996,R,"Drama, Mystery, Sci-Fi",6,6047,"English, Spanish",United States,A Seattle medical examiner uses an experimental memory transference drug to unravel the mystery surrounding his Wife's brutal murder.,117 min
77,83,Happy Gilmore,1996,PG-13,"Comedy, Sport",7,254024,English,United States,"After his grandmother's house is repossessed by the IRS, a bad tempered hockey player takes his talents to golf to earn the big bucks and get his grandmothers house back.",92 min
78,84,The Bridges of Madison County,1995,PG-13,"Drama, Romance",7.6,90287,English,United States,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,135 min
79,85,Muppet Treasure Island,1996,G,"Action, Adventure, Comedy",6.9,27015,English,"United States, United Kingdom","The Muppets set sail in search of treasure, with Jim Hawkins and Long John Silver.",99 min
80,86,Braveheart,1995,R,"Biography, Drama, War",8.3,1105100,"English, French, Latin, Gaelic, Italian",United States,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,178 min
81,87,Taxi Driver,1976,R,"Crime, Drama",8.2,941519,"English, Spanish",United States,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",114 min
82,88,Rumble in the Bronx,1995,R,"Action, Comedy, Crime",6.7,46657,"English, Cantonese",Hong Kong,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.,87 min
83,89,Before and After,1996,PG-13,"Crime, Drama, Mystery",6.1,10053,English,United States,Two parents deal with the effects when their son is accused of murdering his girlfriend.,108 min
84,90,Anne Frank Remembered,1995,PG,"Documentary, Biography, War",8.1,1376,"English, German, Dutch","United Kingdom, United States, Netherlands","Tells the story of the Frank family and paints a portrait of their brash and free-spirited daughter Anne, perhaps the world's most famous victim of the Holocaust.",117 min
85,91,Boomerang,1992,R,"Comedy, Drama, Romance",5.6,31778,"English, French",United States,A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.,117 min
86,92,Chungking Express,1994,PG-13,"Comedy, Crime, Drama",8,98987,"Cantonese, English, Japanese, Hindi, Mandarin, Punjabi, Urdu",Hong Kong,"Two melancholic Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.",102 min
87,93,Flirting with Disaster,1996,R,Comedy,6.7,20057,English,United States,"A young man, his wife, and his incompetent case worker travel across country to find his birth parents.",92 min
88,94,The NeverEnding Story III,1994,G,"Adventure, Comedy, Family",3.2,12599,English,"Germany, United States",A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.,95 min
89,95,Jade,1995,R,"Crime, Drama, Thriller",5.3,14495,English,United States,"A bright assistant D.A. investigates a gruesome hatchet murder and hides a clue he found at the crime scene. Under professional threats and an attempt on his life, he goes on heartbroken because evidence point to the woman he stil...",95 min
90,96,Down Periscope,1996,PG-13,Comedy,6.2,27125,English,United States,"Lt. Cmdr. Tom Dodge is assigned as Captain to the USS Stingray, an old diesel driven submarine that has seen better days.",92 min
91,97,Up Close and Personal 4,1996,PG-13,Adult,6.1,16000,English,United States,"An ambitious young woman, determined to build a career in television journalism, gets good advice from her first boss, and they fall in love.",88 min
92,98,The Birdcage,1996,R,Comedy,7.2,103209,English,United States,"A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing, conservative parents.",117 min
93,99,The Brothers McMullen,1995,R,"Comedy, Drama, Romance",6.6,8286,English,United States,"Three Irish Catholic brothers from Long Island struggle to deal with love, marriage, and infidelity.",98 min
94,100,Bad Boys,1995,R,"Action, Comedy, Crime",6.8,297428,"English, Persian",United States,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,119 min
95,101,The Amazing Panda Adventure,1995,PG,"Adventure, Drama, Family",5.7,4389,English,United States,A young American boy visiting China helps his zoologist father rescue a panda cub from unscrupulous poachers while its reserve is threatened with closure from officious bureaucrats.,84 min
96,102,The Basketball Diaries,1995,R,"Biography, Crime, Drama",7.3,122489,English,United States,A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction.,102 min
97,103,Apollo 13,1995,PG,"Adventure, Drama, History",7.7,320129,English,United States,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,140 min
98,104,Rob Roy,1995,R,"Adventure, Biography, Drama",6.9,46193,English,"United Kingdom, United States","In 1713 Scotland, Rob Roy MacGregor is wronged by a nobleman and his nephew, becomes an outlaw in search of revenge while fleeing the Redcoats, and faces charges of being a Jacobite.",139 min
99,105,Batman Forever,1995,PG-13,"Action, Adventure",5.4,269307,English,"United States, United Kingdom","Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",121 min
100,107,Beyond Rangoon,1995,R,"Action, Adventure, Drama",6.5,5501,English,"United Kingdom, United States","Laura is trying to pick up the pieces of her life after the murder of her husband and son, and goes on vacation with her sister to Burma. After losing her passport at a political rally, she is left on her own for a few days, durin...",100 min
101,108,Blue in the Face,1995,R,Comedy,6.6,10221,English,United States,"Brooklyn Cigar Store is a neighborhood hangout in Brooklyn with Auggie Wren/H.Keitel as center. Some people are interviewed about Brooklyn, spiced up with statistics on Brooklyn.",83 min
102,109,Canadian Bacon,1995,PG,"Action, Comedy",5.9,18120,English,"United States, Canada","The U.S. President, low in the opinion polls, gets talked into raising his popularity by trying to start a cold war against Canada.",91 min
103,110,Casper,1995,PG,"Comedy, Family, Fantasy",6.2,148647,English,United States,An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.,100 min
104,111,Clockers,1995,R,"Crime, Drama, Mystery",6.9,23753,English,United States,"Young drug pushers in the projects of Brooklyn live hard dangerous lives, trapped between their drug bosses and the detectives out to stop them.",128 min
105,112,Congo,1995,PG-13,"Action, Adventure, Mystery",5.3,49182,"English, American Sign ",United States,"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong.",109 min
106,113,Crimson Tide,1995,R,"Action, Drama, Thriller",7.3,125061,English,United States,"On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger-happy Captain from launching his missiles before confirming his orders to do so.",116 min
107,114,Crumb,1994,R,"Documentary, Biography, Comedy",8,21888,English,United States,An intimate portrait of controversial cartoonist Robert Crumb and his traumatized family.,119 min
108,115,Desperado,1995,R,"Action, Crime, Drama",7.1,199305,"English, Spanish","United States, Mexico",Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,104 min
109,116,Devil in a Blue Dress,1995,R,"Crime, Drama, Mystery",6.8,25026,English,United States,"A Black war hero is hired to find a mysterious woman, and gets mixed up in a murderous political scandal in 1948 Los Angeles.",102 min
110,117,Die Hard with a Vengeance,1995,R,"Action, Adventure, Thriller",7.6,412758,"English, German, Romanian",United States,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.",128 min
111,118,The Doom Generation,1995,R,"Comedy, Crime, Drama",6.1,18210,English,"France, United States","Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex-and-violence-filled journey through an America of psychos and quickie marts.",83 min
112,119,First Knight,1995,PG-13,"Action, Adventure, Drama",6,79666,English,"United States, United Kingdom","Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table.",134 min
113,120,Free Willy 2: The Adventure Home,1995,PG,"Adventure, Drama, Family",5.1,19783,"English, Danish, Malay, Dutch, Indonesian, Finnish, Luxembourgish, French Sign ","France, United States",Teenager Jesse becomes reunited with Willy two years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,95 min
114,121,Hackers,1995,PG-13,"Crime, Drama, Romance",6.2,76562,"English, Italian, Spanish, Japanese, Russian",United States,Teenage hackers discover a criminal conspiracy with plans to use a computer virus that will capsize five oil tankers.,105 min
115,122,Jeffrey,1995,R,"Comedy, Drama",6.8,6824,English,United States,A poignant romantic comedy about the quest for love and intimacy in the age of AIDS. A story of a thirtyish gay actor/waiter who decides to become celibate...the risk of AIDS has taken all the joy from sex.,92 min
116,123,Johnny Mnemonic,1995,R,"Action, Drama, Sci-Fi",5.6,77217,"English, Japanese","Canada, United States","A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.",96 min
117,124,Judge Dredd,1995,R,"Action, Crime, Sci-Fi",5.6,126242,English,"United States, Netherlands, United Kingdom","In a dystopian future, Joseph Dredd, the most famous Judge (a police officer with instant field judiciary powers), is convicted for a crime he did not commit and must face his murderous counterpart.",96 min
118,125,Jury Duty,1995,PG-13,Comedy,4.3,8870,English,United States,Jobless loser Tommy Collins is sequestered to be a juror in a serial killer trial. He does everything he can to prolong the trial and deliberations to take full advantage of the free lodging and food.,88 min
119,126,Kids,1995,NC-17,Drama,7,85901,"English, Spanish",United States,"A day in the life of a group of teens as they travel around New York City skating, drinking, smoking and deflowering virgins.",91 min
120,127,Living in Oblivion,1995,R,"Comedy, Drama",7.5,20506,English,United States,This ultimate tribute to all independent filmmakers takes place during one day on the set of a non-budget movie.,90 min
121,128,Lord of Illusions,1995,R,"Horror, Mystery, Thriller",6,19579,English,"United States, United Kingdom","A private detective gets more than he bargains for when he encounters Philip Swan, a performer whose amazing illusions captivate the world, but they are not really what everyone thinks.",109 min
122,129,Mallrats,1995,R,"Comedy, Romance",7,130067,English,United States,"Both dumped by their girlfriends, two best friends seek refuge in the local mall.",94 min
123,130,Mighty Morphin Power Rangers the Movie: Secrets Revealed,1995,Not Rated,"Documentary, Short",6.3,50,English,"United States, Australia",A behind the scenes look at the making of 'Mighty Morphin Power Rangers the Movie'.,20 min
124,131,The Net,1995,PG-13,"Action, Crime, Drama",6,74848,"English, Spanish",United States,"When Angela Bennett, a computer programmer, stumbles upon government secrets, she finds herself on the run from an unknown enemy hell-bent on destroying her completely.",114 min
125,132,Nine Months,1995,PG-13,"Comedy, Romance",5.5,38798,"English, Russian",United States,"When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse.",103 min
126,133,Party Girl,1995,R,"Comedy, Drama, Romance",6.5,7001,"English, Arabic",United States,"A 20-something, irresponsible party girl is bailed out of jail by her librarian godmother. To repay the loan, she starts working at the library and gradually turns her life around.",94 min
127,134,The Prophecy,1995,R,"Action, Crime, Drama",6.4,33815,"English, Spanish, Latin",United States,"At the scene of a bizarre murder, L.A. homicide detective Thomas Dagget discovers a lethal heavenly prophecy now being fulfilled on earth. In his fight to stop the forces of evil, he finds an unlikely ally in an elementary school ...",98 min
128,4513,Safe,2012,R,"Action, Crime, Thriller",6.5,119018,"English, Mandarin, Russian",United States,"Mei, a young girl whose memory holds a priceless numerical code, finds herself pursued by the Triads, the Russian mob, and corrupt NYC cops. Coming to her aid is an ex-cage fighter whose life was destroyed by the gangsters on Mei'...",94 min
129,136,The Scarlet Letter,1995,R,"Drama, Romance",5.3,16476,English,United States,An affair between a young woman and a pastor has disastrous consequences.,135 min
130,137,Showgirls,1995,NC-17,Drama,5.1,75841,English,"France, United States","A mysterious young drifter who calls herself Nomi Malone hitches a ride to Las Vegas, where she finds work as a stripper and sets about clawing her way to the top of the Vegas showgirls.",128 min
131,138,Smoke,1995,R,"Comedy, Drama",7.4,38487,English,"Germany, Japan, United States","A Brooklyn smoke shop is the center of neighborhood activity, and the stories of its customers.",112 min
132,139,Something to Talk About,1995,R,"Comedy, Drama, Romance",5.7,15972,English,United States,A woman's world is rocked when she discovers her husband is cheating on her.,106 min
133,140,Species,1995,R,"Action, Horror, Sci-Fi",5.9,86494,English,United States,A group of scientists try to track down and trap a killer alien seductress before she successfully mates with a human.,108 min
134,141,Strange Days,1995,R,"Crime, Drama, Sci-Fi",7.2,79247,English,United States,A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.,145 min
135,142,The Umbrellas of Cherbourg,1964,Not Rated,"Drama, Musical, Romance",7.8,31900,"French, English","France, West Germany",A young woman separated from her lover by war faces a life-altering decision.,91 min
136,143,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,PG-13,"Comedy, Drama",6.7,37613,"English, French, Italian",United States,"Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town.",109 min
